"","Estimate","Std. Error","t value","Pr(>|t|)"
"age57:sexMale",-0.0248478701824148,4.46626291672972,-0.00556345890192441,0.995562067827855
"age58:sexMale",-3.61896551724133,5.6256779003262,-0.643294120523944,0.520171885545596
"age59:sexMale",-4.61896551724139,4.88549832217243,-0.945444090376327,0.344646848717686
"age60:sexMale",-4.27484787018149,4.60914280950374,-0.927471342690237,0.353892199281851
"age61:sexMale",0.725152129817507,3.0941817116964,0.234359904292737,0.814750671870019
"age62:sexMale",0.381034482758618,4.61245139398347,0.0826099724878713,0.934177209351702
"age63:sexMale",-1.9415145368492,4.60914280950375,-0.421231152318805,0.673671374487713
"age64:sexMale",-0.274847870182521,5.62296553561899,-0.0488795224586531,0.961024481494144
"age65:sexMale",11.2441176470589,4.8814588723214,2.30343385884386,0.0214465364208009
"age66:sexMale",-20.2748478701824,4.88237477386668,-4.15266111456769,3.54937679851345e-05
"age67:sexMale",0.725152129817514,4.8823747738667,0.148524470857696,0.881957018186303
"age68:sexMale",-0.618965517241406,4.88549832217245,-0.126694448841028,0.899206176882411
"age69:sexMale",-1.27484787018249,5.62296553561897,-0.226721622621888,0.820683762208974
"age70:sexMale",-2.13793103448281,5.62647265598468,-0.379977148242028,0.70403821113117
"age71:sexMale",4.72515212981746,4.8823747738667,0.967797915700617,0.333365234421117
"age72:sexMale",-1.77484787018252,4.8823747738667,-0.363521432169144,0.716287619477932
"age73:sexMale",1.36206896551727,4.01209154731108,0.33949099851177,0.734306874362129
"age75:sexMale",-0.274847870182538,5.62296553561899,-0.0488795224586562,0.961024481494141
"age76:sexMale",-1.27484787018276,5.62296553561887,-0.226721622621942,0.820683762208932
"age77:sexMale",9.72515212981745,4.88237477386668,1.99188972175429,0.0466384168064117
"age78:sexMale",-5.13793103448275,5.62647265598467,-0.913170888517111,0.361359539113841
"age79:sexMale",0.862068965517314,4.88641346656975,0.176421617084828,0.859996296063891
"age81:sexMale",0.7251521298175,4.00717175202421,0.180963575981287,0.856430629685721
"age82:sexMale",4.39181879648418,4.60914280950376,0.952849364404271,0.340882805972672
"age91:sexMale",4.72515212981751,5.62296553561899,0.840330978357552,0.400911626566199
"age 1:siteUrban",0.876867816092019,1.7969595579717,0.487973038793246,0.625669475551319
"age 2:siteUrban",2.76674876847312,2.57693639442755,1.07365815254735,0.283219354271445
"age 3:siteUrban",-1.16340996168579,1.81490999855036,-0.641029011143834,0.521641877708535
"age 4:siteUrban",-2.6748096730854,2.04085677311885,-1.31063076464584,0.190265364503516
"age 5:siteUrban",0.0810344827590784,3.37932553689625,0.0239794840344102,0.980873469636123
"age 6:siteUrban",-0.943965517241374,2.3632017682833,-0.399443471103654,0.689646632453173
"age 7:siteUrban",-2.56896551724138,2.44412162069133,-1.05107924887745,0.293460851571596
"age 8:siteUrban",-2.85229885057463,2.3170254849936,-1.23101747004846,0.218588371754582
"age 9:siteUrban",0.314367816091992,2.39047942834106,0.131508270836766,0.895398105929016
"age10:siteUrban",-3.3761083743842,2.57693639442755,-1.31012483726211,0.190436372037868
"age11:siteUrban",0.564367816092003,2.6478453305219,0.213142289538779,0.831256810676868
"age12:siteUrban",-3.14753694581288,2.42127763436957,-1.29994879609599,0.193900058047649
"age13:siteUrban",-0.985632183908006,2.4966115228725,-0.394787965559808,0.693078500473122
"age14:siteUrban",-5.64017763845344,1.9160162013398,-2.94370038964675,0.00331357626501233
"age15:siteUrban",-7.75706075533664,2.31168946527868,-3.35558078705935,0.000819958528388543
"age16:siteUrban",-1.80467980295574,2.23011759116845,-0.809230782315024,0.418563330895051
"age17:siteUrban",-6.01896551724136,2.74404119742846,-2.19346762099708,0.0284894821531156
"age18:siteUrban",-2.10229885057464,2.25078772850737,-0.934028040027031,0.350501343664623
"age19:siteUrban",4.31436781609211,2.3116894652787,1.86632671943762,0.0622706042182995
"age20:siteUrban",-2.31896551724135,3.37932553689625,-0.686221404810622,0.492723006672132
"age21:siteUrban",1.06436781609201,3.09910807950551,0.343443271027139,0.731332860986426
"age22:siteUrban",-0.118965517241334,2.59841226424094,-0.0457839269305045,0.963491061041769
"age23:siteUrban",-6.5189655172414,4.88549832217242,-1.3343501701056,0.182374615970727
"age24:siteUrban",4.81436781609209,4.61245139398346,1.04377637938299,0.296825946149453
"age25:siteUrban",-5.10229885057463,2.6478453305219,-1.92696257283613,0.0542503338161566
"age26:siteUrban",-7.51896551724125,4.88549832217244,-1.53903758048939,0.124092443854314
"age27:siteUrban",-12.3630831643,4.8823747738667,-2.53218643322393,0.0114782917008168
"age28:siteUrban",0.981034482758657,2.74404119742846,0.357514487638896,0.720777584418182
"age29:siteUrban",0.981034482758631,4.88549832217241,0.200805407773101,0.840889111478781
"age30:siteUrban",1.39770114942531,3.09910807950552,0.451001098886592,0.652080653284303
"age31:siteUrban",-9.51896551724139,4.01097692260634,-2.37322869238947,0.0178102063187328
"age32:siteUrban",3.98103448275864,3.09910807950551,1.28457426479745,0.199220695511307
"age33:siteUrban",2.2810344827589,4.38178035353077,0.52057252959311,0.602772896178667
"age34:siteUrban",2.48103448275869,2.59841226424094,0.954827113811927,0.339882009121725
"age35:siteUrban",-0.518965517241448,5.62567790032619,-0.0922494189031614,0.926517240124174
"age36:siteUrban",-0.768965517241327,3.49254303946939,-0.220173526439392,0.825778249586611
"age37:siteUrban",1.98103448275864,4.46967726629287,0.443216448242962,0.657699283621505
"age38:siteUrban",-6.0522988505747,2.49661152287251,-2.42420528589532,0.0155077334779752
"age39:siteUrban",-2.41896551724134,3.37932553689625,-0.715813108512489,0.474263814759314
"age40:siteUrban",-11.685632183908,4.32218947615329,-2.70363718397374,0.00696784452668056
"age41:siteUrban",1.48103448275869,5.62567790032622,0.263263291819961,0.792398622382188
"age42:siteUrban",-6.35229885057455,3.67349287185794,-1.72922585456434,0.0840587269146103
"age43:siteUrban",4.31436781609191,3.67349287185791,1.17445928618609,0.240473896848154
"age44:siteUrban",0.147701149425287,3.30169106451546,0.044734999895262,0.964326929720216
"age45:siteUrban",-9.71896551724143,2.74404119742846,-3.54184387841896,0.000414553204439117
"age46:siteUrban",-3.35229885057467,3.0991080795055,-1.08169794811079,0.279631859889283
"age47:siteUrban",-2.51896551724136,3.30169106451546,-0.762931924283785,0.445673107037032
"age48:siteUrban",-2.01896551724135,4.88549832217244,-0.413256823378373,0.679501730359878
"age49:siteUrban",-6.5189655172414,4.88549832217244,-1.3343501701056,0.182374615970728
"age50:siteUrban",2.63691683569978,4.0071717520242,0.658049367204627,0.51064875609465
"age51:siteUrban",-3.18563218390796,3.67349287185792,-0.867194328404069,0.386031068769918
"age52:siteUrban",-6.5189655172414,3.67349287185791,-1.77459593488863,0.0762505101542632
"age53:siteUrban",-1.18563218390804,3.30169106451545,-0.359098462194263,0.71959267941649
"age54:siteUrban",-3.51896551724133,3.49254303946938,-1.00756539789871,0.313892223263642
"age55:siteUrban",0.231034482758725,4.46967726629283,0.0516892985766612,0.958785966457994
"age56:siteUrban",-4.47134646962223,2.81732038965576,-1.58709193531538,0.112788936382007
"age57:siteUrban",-4.26896551724122,3.09910807950546,-1.3774819747243,0.168652960181582
"age59:siteUrban",-2.18563218390834,4.61245139398349,-0.473854789398819,0.635700676626682
"age60:siteUrban",-1.51896551724035,3.67349287185791,-0.413493525161549,0.679328389181474
"age61:siteUrban",0.481034482758664,3.09910807950552,0.15521707227307,0.876679629381391
"age62:siteUrban",3.13691683569975,5.62296553561899,0.557875878098269,0.577046500203053
"age63:siteUrban",5.63691683569981,4.46626291672975,1.26211039090086,0.207185644807922
"age64:siteUrban",-5.18563218390804,4.61245139398347,-1.12426814744806,0.261152859671303
"age66:siteUrban",-19.7689655172412,4.46967726629283,-4.42290669760989,1.07383907992244e-05
"age67:siteUrban",-2.85229885057468,3.67349287185792,-0.776454167755631,0.437653439187822
"age68:siteUrban",1.48103448275863,5.62567790032621,0.263263291819952,0.792398622382194
"age69:siteUrban",0.481034482758668,4.61245139398345,0.104290417756193,0.916958536726818
"age71:siteUrban",-0.518965517241351,5.62567790032624,-0.0922494189031433,0.926517240124188
"age77:siteUrban",-8.36308316430021,4.88237477386669,-1.71291298838104,0.0870198755894407
"age81:siteUrban",5.13691683569981,4.88237477386669,1.05213488796386,0.292976551667741
"age84:siteUrban",2.13691683569978,4.88237477386669,0.437679804331656,0.661707240445782
"sexMale:siteUrban",0.344117647058869,1.01228918537388,0.339940060637685,0.733968761246902
"age 1:sexMale:siteUrban",-0.948284313725583,2.63967907732748,-0.359242273756121,0.719485133364792
